,Dist Name,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,runoff_grow_av,runoff_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
2151,Madurai,101.36584615384615,111.37923076923076,75.92953846153846,96.55653846153847,34.46284615384615,29.895576923076927,25.048000000000002,22.13134615384615,2.5110846153846156,1.7759038461538466,7.517615384615384,13.518653846153846,4
2177,Ramananthapuram,75.09707692307691,165.46750000000003,61.931615384615384,106.79557692307694,34.896307692307694,29.9425,27.021692307692312,23.66653846153846,3.6366461538461534,2.3913846153846157,3.75476923076923,14.689807692307692,4
2203,Thirunelveli,91.64661538461536,168.23057692307688,63.95676923076922,101.3246153846154,33.11884615384616,29.438653846153855,25.449461538461534,22.43557692307692,2.851430769230769,1.7620769230769233,15.822846153846154,61.722500000000004,4
2229,The Nilgiris,253.25053846153847,70.69192307692309,95.32830769230769,76.8898076923077,22.869076923076925,22.748653846153843,15.452384615384618,13.194038461538462,1.8105307692307693,1.4995769230769231,136.33915384615386,17.97423076923077,0
2255,Kanyakumari,149.7566923076923,169.43057692307696,101.605,104.26115384615385,29.446230769230773,28.876923076923074,23.002923076923075,22.561730769230774,2.886415384615385,2.4284615384615384,34.270307692307696,74.20461538461538,4
2281,Thane,582.0267368421053,3.641842105263158,118.37926315789473,44.829473684210534,30.702526315789477,31.483684210526313,23.897368421052626,18.193157894736846,2.305863157894737,1.128,441.04084210526315,0.17921052631578946,3
2300,Ratnagiri,729.3281052631579,12.567894736842105,106.8158947368421,71.33552631578948,28.72421052631579,30.468947368421055,23.37978947368421,19.639473684210525,2.8312526315789475,1.5725263157894738,575.3348421052631,0.6276315789473683,2
2319,Nasik,203.26284210526316,6.67815789473684,99.87894736842104,23.431578947368422,30.104,29.95394736842105,21.428105263157892,14.070263157894736,2.128557894736842,1.0732105263157894,93.48715789473685,0.3326315789473684,0
2338,Dhule,125.18978947368423,4.622894736842105,101.51115789473684,16.427105263157898,32.60631578947368,31.936052631578953,23.03894736842105,14.41236842105263,2.1729263157894736,1.1201052631578947,16.46221052631579,0.2305263157894737,1
2357,Jalgaon,143.47333333333333,6.331944444444445,110.34966666666665,28.939166666666665,32.80000000000001,31.590833333333332,23.092,14.597222222222221,2.2231666666666667,1.1740555555555559,19.852999999999998,0.3147222222222222,1
