"Dist.Code","Dist.Name","State.Name","Cluster"
940,"Devghar Deogarh","Jharkhand",1
941,"Lohardagga","Jharkhand",1
942,"Gumla","Jharkhand",1
943,"Singhbhum East","Jharkhand",1
944,"Singhbhum West","Jharkhand",1
945,"Araria","Bihar",2
946,"Kishanganj","Bihar",2
947,"Buxar","Bihar",3
948,"Bhabhua Kaimur","Bihar",3
949,"Banka","Bihar",3
950,"Jamui","Bihar",3
951,"Supaul","Bihar",1
952,"Chatra","Jharkhand",1
953,"Bokaro","Jharkhand",1
954,"Gadva Garhwa","Jharkhand",3
955,"Khodrama Koderma","Jharkhand",3
956,"Lakhisarai","Bihar",3
957,"Pakund Pakur","Jharkhand",1
958,"Sheikapura","Bihar",3
960,"Sheohar","Bihar",1
961,"Arwal","Bihar",3
962,"Jamtara","Jharkhand",1
963,"Latehar","Jharkhand",1
964,"Sariakela Kharsawan","Jharkhand",1
965,"Simdega","Jharkhand",1
1001,"Anand","Gujarat",3
1002,"Dahod","Gujarat",1
1003,"Narmada","Gujarat",1
1004,"Navsari","Gujarat",2
1007,"Fatehabad","Haryana",5
1008,"Jhajjar","Haryana",5
1009,"Panchkula","Haryana",1
1010,"Bagalkote","Karnataka",5
1011,"Chamaraja Nagar","Karnataka",4
1012,"Davanagere","Karnataka",5
1013,"Gadag","Karnataka",5
1014,"Haveri","Karnataka",3
1015,"Koppal","Karnataka",5
1016,"Udupi","Karnataka",2
1017,"S.B.S Nagar","Punjab",5
1018,"Shri Mukatsar Sahib","Punjab",5
1019,"Moga","Punjab",5
1020,"Karoli","Rajasthan",3
1022,"Karur","Tamil Nadu",4
1023,"Namakkal","Tamil Nadu",4
1024,"Perambular","Tamil Nadu",4
1025,"Theni","Tamil Nadu",4
1026,"Tiruvarur","Tamil Nadu",6
1027,"Thiruvallur","Tamil Nadu",6
1028,"Ambedkar Nagar","Uttar Pradesh",3
1029,"Kushi Nagar Padrauna","Uttar Pradesh",1
1030,"Udham Singh Nagar","Uttarakhand",1
1031,"Auraiya","Uttar Pradesh",5
1032,"Bageshwar","Uttarakhand",2
1033,"Bagpat","Uttar Pradesh",3
1034,"Balrampur","Uttar Pradesh",1
1035,"Champavat","Uttarakhand",1
1036,"Chandauli","Uttar Pradesh",3
1037,"Chitrakoot","Uttar Pradesh",3
1038,"G.B.Nagar","Uttar Pradesh",3
1039,"Hathras","Uttar Pradesh",5
1040,"Amroha J.B.Fulenagar","Uttar Pradesh",3
1041,"Kannauj","Uttar Pradesh",5
1042,"Kushambi","Uttar Pradesh",3
1043,"Rudraprayag","Uttarakhand",1
1044,"Santh Ravi Das Nagar Bhadoi","Uttar Pradesh",3
1045,"Santh Kabir Nagar","Uttar Pradesh",1
1046,"Shravasti","Uttar Pradesh",1
1047,"Bongaigaon","Assam",2
1048,"Dhemaji","Assam",2
1049,"Hailakandi","Assam",2
1050,"Marigaon","Assam",1
1051,"Tinsukia","Assam",2
1055,"Dantewara","Chhattisgarh",1
1056,"Dhamtari","Chhattisgarh",1
1057,"Dindori","Madhya Pradesh",1
1058,"Harda","Madhya Pradesh",1
1059,"Janjgir","Chhattisgarh",1
1060,"Barwani","Madhya Pradesh",5
1061,"Katni","Madhya Pradesh",1
1062,"Neemuch","Madhya Pradesh",1
1063,"Sheopur Kalan","Madhya Pradesh",3
1064,"Umaria","Madhya Pradesh",1
1065,"Koriya","Chhattisgarh",1
1066,"Jashpur","Chhattisgarh",1
1067,"Korba","Chhattisgarh",1
1068,"Kawardha","Chhattisgarh",1
1069,"Mahasmund","Chhattisgarh",1
1070,"Kanker","Chhattisgarh",1
1071,"Anuppur","Madhya Pradesh",1
1072,"Gondia","Maharashtra",1
1073,"Hingoli","Maharashtra",3
1074,"Nandurbar","Maharashtra",3
1075,"Washim","Maharashtra",3
1077,"Ariyalur","Tamil Nadu",6
1080,"Krishnagiri","Tamil Nadu",4
1081,"Ashoknagar","Madhya Pradesh",3
1082,"Burhanpur","Madhya Pradesh",3
2001,"Tapi","Gujarat",2
2002,"Mewat","Haryana",5
2003,"Palwal","Haryana",5
2004,"Ramanagaram","Karnataka",4
2005,"Chikkaballapur","Karnataka",4
2006,"Alirajpur","Madhya Pradesh",1
2007,"Singrauli","Madhya Pradesh",1
2009,"Taran Taran","Punjab",5
2010,"Barnala","Punjab",5
2011,"S.A.S Nagar","Punjab",3
2013,"Kasganj Khansi Ram Nagar","Uttar Pradesh",5
2014,"Bijapur","Chhattisgarh",1
2015,"Narayanpur","Chhattisgarh",1
2017,"Udalguri","Assam",2
2018,"Baksa","Assam",2
2019,"Chirang","Assam",2
2020,"Thiruppur","Tamil Nadu",4
2023,"Khunti","Jharkhand",1
2024,"Ramgadh","Jharkhand",1
2025,"Yadagiri","Karnataka",5
2026,"Amethi C.S.M.Nagar","Uttar Pradesh",3
2027,"Mumbai City","Maharashtra",2
2031,"Sambhal","Uttar Pradesh",3
2032,"Shamli","Uttar Pradesh",3
2033,"Hapur","Uttar Pradesh",3
2035,"Baloda Bazar","Chhattisgarh",1
2037,"Bemetra","Chhattisgarh",1
2038,"Gariaband","Chhattisgarh",1
2039,"Kondagaon","Chhattisgarh",1
2040,"Mungli","Chhattisgarh",1
2041,"Sukma","Chhattisgarh",1
2042,"Surajpur","Chhattisgarh",1
