Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest
523,2012,Yamunanagar,Haryana,70.04,3955.0,6935.772123203285,1623.921264887064,150.80316714579055,243.16,11.3,91.25799999999998,29.89,33.196,23.240000000000002,24.366,10.075,132.068,0.5599999999999999,1.1336000000000002,0.29800000000000004
523,2013,Yamunanagar,Haryana,69.0,3681.0,6875.851416837782,1091.1067761806983,178.6235728952772,242.12800000000001,10.355,122.744,33.77,32.767999999999994,23.72,24.418,9.91,94.738,0.52,0.9457999999999999,0.362
523,2014,Yamunanagar,Haryana,70.0,3800.0,7272.243942505133,1650.5568788501025,462.12073921971256,164.57,10.66,105.348,32.845,33.53000000000001,23.435000000000002,24.34,9.825,36.174,0.5349999999999999,1.1046,0.35250000000000004
523,2015,Yamunanagar,Haryana,74.0,3784.0,8743.900780287473,1799.7407802874745,239.6141273100616,212.24599999999995,2.54,111.048,24.205,32.644,24.0,24.34,10.785,87.302,0.125,1.0500000000000003,0.34299999999999997
524,1990,Kaithal,Haryana,119.4,2613.0,5828.818694045176,1553.4847145790554,4.501404517453799,115.76199999999999,12.325,96.58000000000001,18.75,34.138,25.105,23.43,8.77,14.258000000000001,0.63,1.2508,0.6435
524,1991,Kaithal,Haryana,108.6,2578.0,5553.612221765913,1620.4101190965089,11.827811088295688,65.66,10.2,60.758,12.215,34.898,24.6,23.348000000000003,8.55,3.284,0.505,1.295,0.53
524,1992,Kaithal,Haryana,116.2,2582.0,5877.524845995892,1487.9994579055442,7.301273100616016,78.374,7.485,72.08399999999999,10.535,34.118,25.134999999999998,23.208000000000002,9.0,3.9260000000000006,0.36,1.2184,0.47650000000000003
524,1993,Kaithal,Haryana,120.9,2556.0,6019.539006160164,1218.4932566735113,1.0128788501026693,86.76,0.16,79.61600000000001,3.895,34.395999999999994,26.18,23.787999999999997,8.74,4.3340000000000005,0.0,1.3574,0.741
524,1994,Kaithal,Haryana,127.5,2635.0,6399.955441478439,1390.2264887063657,4.806776180698152,96.59400000000001,2.2950000000000004,85.68599999999999,6.94,33.992000000000004,25.245,23.516,9.325,7.533999999999999,0.115,1.4664,0.7235
524,1995,Kaithal,Haryana,142.0,2042.0,7792.213552361396,1196.7888295687885,14.870636550308008,112.31200000000001,1.5499999999999998,86.98400000000001,8.615,34.656,24.6,24.13,9.225,21.028,0.055,1.671,1.205
524,1996,Kaithal,Haryana,140.5,3125.0,8483.245749486652,1288.9071868583162,53.557330595482554,109.44599999999998,0.0,98.786,6.449999999999999,33.836,25.005000000000003,23.688,7.46,6.5200000000000005,0.0,1.5012,0.6285000000000001
524,1997,Kaithal,Haryana,150.1,2891.0,8395.774151950718,2119.5352854209445,42.7553839835729,99.976,12.774999999999999,91.03,17.36,33.56,21.45,22.708000000000002,8.98,5.561999999999999,0.635,1.1354000000000002,0.4685
524,1998,Kaithal,Haryana,162.0,2154.0,10474.926652977414,2419.900780287474,72.6105954825462,105.19000000000001,3.52,97.184,7.49,34.205999999999996,25.205,24.258,8.525,5.258000000000001,0.18,1.1502000000000001,0.399
524,1999,Kaithal,Haryana,162.9,2234.0,9197.715326488706,2813.426833675564,98.26181519507186,67.334,0.36,64.51,0.655,34.734,26.439999999999998,23.992,9.190000000000001,3.3699999999999997,0.0,1.1484,0.526
524,2000,Kaithal,Haryana,164.2,2381.0,11635.151310061601,2413.5579301848047,112.11454620123202,71.806,1.555,66.848,2.75,34.626000000000005,26.185000000000002,23.753999999999998,9.435,3.594,0.085,1.1865999999999999,0.625
524,2001,Kaithal,Haryana,160.9,2498.0,11694.502743326488,2791.016993839836,81.55350308008212,67.85400000000001,0.83,64.55199999999999,1.095,34.316,25.265,24.116000000000003,10.34,3.3899999999999992,0.05,1.0670000000000002,0.4605
524,2002,Kaithal,Haryana,170.2,2609.0,10521.757010266942,3548.3659466119097,104.80405749486653,63.98600000000001,5.694999999999999,57.03599999999999,9.575,34.288,25.325,24.448,10.41,3.198,0.29500000000000004,1.1751999999999998,0.4385
524,2003,Kaithal,Haryana,156.8,2474.0,10575.480640657086,2500.518899383984,164.86216016427105,108.076,11.225000000000001,91.954,15.09,34.326,24.48,23.746,8.51,12.972,0.5700000000000001,0.9894000000000001,0.4475
524,2004,Kaithal,Haryana,152.64,2614.0,10514.219314989732,2422.6694833675565,190.53985379876795,58.588,2.37,55.51800000000001,3.0700000000000003,34.238,26.384999999999998,23.46,8.92,2.932,0.125,1.0936,0.46
