"Dist Code","Year","State Code","State Name","Dist Name","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"5","1978","14","Chhattisgarh","Raigarh","151.87","107.53","104.47","108.67","98.06","68.67","50.09"
"5","1979","14","Chhattisgarh","Raigarh","153.44","112.29","107.2","111.06","84.72","78.68","45.09"
"5","1980","14","Chhattisgarh","Raigarh","151.21","109.67","106.02","109.97","83.76","57.51","43.76"
"5","1981","14","Chhattisgarh","Raigarh","127.93","109.37","105.76","110.4","94.75","61.27","44.78"
"5","1982","14","Chhattisgarh","Raigarh","145.95","112.9","106.06","110.25","89.65","74.19","45.34"
"5","1983","14","Chhattisgarh","Raigarh","139.19","112.07","106.5","108.87","114.67","64.42","50.73"
"5","1984","14","Chhattisgarh","Raigarh","150.26","108.53","106.55","109.16","99.2","61.1","45.92"
"5","1985","14","Chhattisgarh","Raigarh","139.85","109.29","106.25","110.23","118.01","70.48","51.69"
"5","1986","14","Chhattisgarh","Raigarh","155.51","112.21","107.32","111.81","83.47","59.16","44.07"
"5","1987","14","Chhattisgarh","Raigarh","101.48","114.04","109.26","110.26","107.22","64.72","53.92"
"5","1988","14","Chhattisgarh","Raigarh","151.59","110.92","106.71","111.49","104.36","62.77","47.92"
"5","1989","14","Chhattisgarh","Raigarh","151.29","110.99","105.38","109.45","90.92","57.79","42.79"
"5","1990","14","Chhattisgarh","Raigarh","148.94","109.71","105.65","109.42","107.96","67.5","48.22"
"5","1991","14","Chhattisgarh","Raigarh","151.69","109.93","106.51","109.81","80.62","53.8","37.08"
"5","1992","14","Chhattisgarh","Raigarh","116.47","112.38","105.06","110.23","96.8","61.96","41.14"
"5","1993","14","Chhattisgarh","Raigarh","135.16","111.31","107.9","109.97","107.5","67.05","50.1"
"5","1994","14","Chhattisgarh","Raigarh","152.03","108.7","105.62","110.68","109.66","64.52","45.83"
"5","1995","14","Chhattisgarh","Raigarh","111.95","112.13","109.81","111.85","113.22","68.87","48.95"
"5","1996","14","Chhattisgarh","Raigarh","159.77","113.26","107.3","112.17","109.25","64.17","46.8"
"5","1997","14","Chhattisgarh","Raigarh","110.81","111.98","107.45","110.4","82.6","62.04","50.99"
"5","1998","14","Chhattisgarh","Raigarh","129.83","111.32","106.97","110.09","118.46","70.65","49.1"
"5","1999","14","Chhattisgarh","Raigarh","146.14","110.4","105.97","109.14","105.72","62.84","45.4"
"5","2000","14","Chhattisgarh","Raigarh","145.4","108.99","106.88","110.94","86.67","57.8","39.97"
"5","2001","14","Chhattisgarh","Raigarh","147.36","108.6","105.29","109.14","108.76","65.23","45.57"
"5","2002","14","Chhattisgarh","Raigarh","114.92","112.6","106.34","108.95","87.51","53.49","35.41"
"5","2003","14","Chhattisgarh","Raigarh","135.62","111.59","106.26","108.31","105.67","59.61","43.33"
"5","2004","14","Chhattisgarh","Raigarh","145.53","107.55","105.98","109.26","94.35","58.31","40.79"
"5","2005","14","Chhattisgarh","Raigarh","131.59","109.41","106.49","110.75","97.94","57.22","43.09"
"5","2006","14","Chhattisgarh","Raigarh","141.18","110.89","105.3","109.33","97.77","63.9","45.06"
"5","2007","14","Chhattisgarh","Raigarh","140.89","109.72","106.64","109.91","78.98","53.8","32.85"
"5","2008","14","Chhattisgarh","Raigarh","145.54","108.75","105.86","109.01","81.08","55.12","39.41"
"5","2009","14","Chhattisgarh","Raigarh","93.72","109.63","106.24","110.67","102.19","81.83","51.84"
"5","2010","14","Chhattisgarh","Raigarh","130.01","108.49","105.73","110.43","104.57","73.94","51.67"
"5","2011","14","Chhattisgarh","Raigarh","147.36","108.53","105.17","108.82","99.78","60.9","44.17"
"5","2012","14","Chhattisgarh","Raigarh","137.21","109.56","106.92","109.14","97.7","60.04","43.9"
"5","2013","14","Chhattisgarh","Raigarh","142.7","107.45","104.11","109.2","110.47","61.9","44.6"
"5","2014","14","Chhattisgarh","Raigarh","114.93","108.95","105.81","109.69","96.25","59.93","49.5"
"5","2015","14","Chhattisgarh","Raigarh","150.0","112.21","105.94","111.81","98.96","68.24","49.03"
"6","1958","14","Chhattisgarh","Surguja","93.03","105.35","103.18","105.13","104.91","55.11","39.08"
"6","1959","14","Chhattisgarh","Surguja","103.44","104.66","101.53","103.61","105.41","50.69","39.75"
"6","1960","14","Chhattisgarh","Surguja","136.63","105.47","101.01","105.12","87.4","47.2","35.64"
"6","1961","14","Chhattisgarh","Surguja","156.91","103.6","101.78","103.29","96.37","47.95","39.55"
"6","1962","14","Chhattisgarh","Surguja","140.81","105.49","101.71","105.27","74.81","44.65","36.66"
"6","1963","14","Chhattisgarh","Surguja","155.57","103.29","100.56","105.74","106.37","54.14","39.02"
"6","1964","14","Chhattisgarh","Surguja","157.54","104.79","99.95","104.09","87.13","51.98","36.39"
"6","1965","14","Chhattisgarh","Surguja","69.22","106.2","103.0","104.33","79.16","46.48","34.6"
"6","1966","14","Chhattisgarh","Surguja","161.83","108.36","101.56","103.67","70.79","51.71","37.52"
"6","1967","14","Chhattisgarh","Surguja","150.79","107.04","102.11","105.11","71.33","43.73","40.03"
"6","1968","14","Chhattisgarh","Surguja","150.1","105.51","102.13","106.47","83.13","46.84","37.17"
